id,university,department,score
6446,ISKENDERUN TEKNIK UNIVERSITESI,Endustri Muhendisligi,144.00
6653,ATATURK UNIVERSITESI,Endustri Muhendisligi,144.00
6547,SULEYMAN DEMIREL UNIVERSITESI,Endustri Muhendisligi,144.00
6758,KARADENIZ TEKNIK UNIVERSITESI,Endustri Muhendisligi,144.00
6798,KONYA TEKNIK UNIVERSITESI,Endustri Muhendisligi,144.00
6537,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Endustri Muhendisligi,144.00
6738,KUTAHYA DUMLUPINAR UNIVERSITESI,Endustri Muhendisligi,144.00
6797,KOCAELI UNIVERSITESI,Endustri Muhendisligi,144.00
6490,ERCIYES UNIVERSITESI,Endustri Muhendisligi,144.00
6824,KARABUK UNIVERSITESI,Endustri Muhendisligi,144.00
6422,ERZURUM TEKNIK UNIVERSITESI,Endustri Muhendisligi,144.00
6429,ISTANBUL MEDENIYET UNIVERSITESI,Endustri Muhendisligi,144.00
6671,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Endustri Muhendisligi,144.00
