id,university,department,score
5988,KARABUK UNIVERSITESI,Arkeoloji,228.30
5991,NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,Arkeoloji,228.20
6042,USAK UNIVERSITESI,Arkeoloji,225.62
6043,HITIT UNIVERSITESI,Arkeoloji,225.50
6073,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Arkeoloji,223.59
6079,KIRSEHIR AHI EVRAN UNIVERSITESI,Arkeoloji,223.32
6106,KAFKAS UNIVERSITESI,Arkeoloji,220.90
100,KOC UNIVERSITESI,Arkeoloji ve Sanat Tarihi,512.89
6218,TRAKYA UNIVERSITESI,Arnavut Dili ve Edebiyati,205.44
3263,ANKARA UNIVERSITESI,Astronomi ve Uzay Bilimleri,331.12
3543,ISTANBUL UNIVERSITESI,Astronomi ve Uzay Bilimleri,321.87
3773,EGE UNIVERSITESI,Astronomi ve Uzay Bilimleri,314.19
4579,ERCIYES UNIVERSITESI,Astronomi ve Uzay Bilimleri,282.01
4735,ATATURK UNIVERSITESI,Astronomi ve Uzay Bilimleri,276.06
6329,SELCUK UNIVERSITESI,Ayakkabi Tasarimi ve Uretimi,154.00
6163,KAFKAS UNIVERSITESI,Azerbaycan Turkcesi ve Edebiyati,216.75
3759,EGE UNIVERSITESI,Bahce Bitkileri,314.66
3970,AKDENIZ UNIVERSITESI,Bahce Bitkileri,306.88
4215,ANKARA UNIVERSITESI,Bahce Bitkileri,297.32
4264,CUKUROVA UNIVERSITESI,Bahce Bitkileri,295.06
4418,ESKISEHIR OSMANGAZI UNIVERSITESI,Bahce Bitkileri,289.21
4516,BURSA ULUDAG UNIVERSITESI,Bahce Bitkileri,284.82
4554,ISPARTA UYGULAMALI BILIMLER UNIVERSITESI,Bahce Bitkileri,283.13
4697,ONDOKUZ MAYIS UNIVERSITESI,Bahce Bitkileri,277.75
4752,AYDIN ADNAN MENDERES UNIVERSITESI,Bahce Bitkileri,275.54
4836,SELCUK UNIVERSITESI,Bahce Bitkileri,272.30
4851,CANAKKALE ONSEKIZ MART UNIVERSITESI,Bahce Bitkileri,271.61
4891,DICLE UNIVERSITESI,Bahce Bitkileri,270.31
4920,MUGLA SITKI KOCMAN UNIVERSITESI,Bahce Bitkileri,268.97
4990,ERCIYES UNIVERSITESI,Bahce Bitkileri,266.86
5033,USAK UNIVERSITESI,Bahce Bitkileri,265.39
5077,HARRAN UNIVERSITESI,Bahce Bitkileri,263.15
5124,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Bahce Bitkileri,260.86
5143,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Bahce Bitkileri,260.12
5191,KOCAELI UNIVERSITESI,Bahce Bitkileri,258.44
5231,PAMUKKALE UNIVERSITESI,Bahce Bitkileri,256.87
5232,ORDU UNIVERSITESI,Bahce Bitkileri,256.80
5252,VAN YUZUNCU YIL UNIVERSITESI,Bahce Bitkileri,256.04
5261,SAKARYA UYGULAMALI BILIMLER UNIVERSITESI,Bahce Bitkileri,255.60
5319,TOKAT GAZIOSMANPASA UNIVERSITESI,Bahce Bitkileri,253.45
5363,HATAY MUSTAFA KEMAL UNIVERSITESI,Bahce Bitkileri,251.77
5496,KILIS 7 ARALIK UNIVERSITESI,Bahce Bitkileri,247.55
5499,KIRSEHIR AHI EVRAN UNIVERSITESI,Bahce Bitkileri,247.43
5503,RECEP TAYYIP ERDOGAN UNIVERSITESI,Bahce Bitkileri,247.29
5543,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Bahce Bitkileri,245.95
5579,MALATYA TURGUT OZAL UNIVERSITESI,Bahce Bitkileri,244.73
5612,YOZGAT BOZOK UNIVERSITESI,Bahce Bitkileri,243.38
5676,SIIRT UNIVERSITESI,Bahce Bitkileri,240.60
5678,BINGOL UNIVERSITESI,Bahce Bitkileri,240.51
5695,ATATURK UNIVERSITESI,Bahce Bitkileri,240.06
5820,LEFKE AVRUPA UNIVERSITESI,Bahce Bitkileri,235.18
5847,IGDIR UNIVERSITESI,Bahce Bitkileri,234.09
5975,SIRNAK UNIVERSITESI,Bahce Bitkileri,228.89
5737,KARADENIZ TEKNIK UNIVERSITESI,Balikcilik Teknolojisi Muhendisligi,238.81
5915,ORDU UNIVERSITESI,Balikcilik Teknolojisi Muhendisligi,231.60
6217,GIRNE UNIVERSITESI,Balikcilik Teknolojisi Muhendisligi,206.04
3465,MARMARA UNIVERSITESI,Bankacilik,324.65
5993,ULUSLARARASI BALKAN UNIVERSITESI,Bankacilik ve Finans,228.09
3361,ISTANBUL MEDIPOL UNIVERSITESI,Bankacilik ve Sigortacilik,327.87
3770,ISTANBUL GELISIM UNIVERSITESI,Bankacilik ve Sigortacilik,314.27
5495,ISPARTA UYGULAMALI BILIMLER UNIVERSITESI,Bankacilik ve Sigortacilik,247.59
5547,TRAKYA UNIVERSITESI,Bankacilik ve Sigortacilik,245.90
5698,DOGU AKDENIZ UNIVERSITESI,Bankacilik ve Sigortacilik,240.03
5834,TOKAT GAZIOSMANPASA UNIVERSITESI,Bankacilik ve Sigortacilik,234.64
5853,AFYON KOCATEPE UNIVERSITESI,Bankacilik ve Sigortacilik,233.81
5929,KARAMANOGLU MEHMETBEY UNIVERSITESI,Bankacilik ve Sigortacilik,230.96
4413,MARMARA UNIVERSITESI,Basim Teknolojileri,289.42
6100,GIRNE AMERIKAN UNIVERSITESI,Basin ve Yayin,221.53
5391,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Bati Dilleri,251.00
3475,USAK UNIVERSITESI,Beden Egitimi ve Spor Ogretmenligi,324.27
3548,BARTIN UNIVERSITESI,Beden Egitimi ve Spor Ogretmenligi,321.68
924,BAHCESEHIR UNIVERSITESI,Beslenme ve Diyetetik,430.23
1007,HACETTEPE UNIVERSITESI,Beslenme ve Diyetetik,425.38
1100,ACIBADEM MEHMET ALI AYDINLAR UNIVERSITESI,Beslenme ve Diyetetik,419.81
1337,YEDITEPE UNIVERSITESI,Beslenme ve Diyetetik,405.77
1375,BASKENT UNIVERSITESI,Beslenme ve Diyetetik,403.51
1469,EGE UNIVERSITESI,Beslenme ve Diyetetik,399.10
1509,ANKARA UNIVERSITESI,Beslenme ve Diyetetik,397.35
1516,ISTANBUL MEDIPOL UNIVERSITESI,Beslenme ve Diyetetik,397.10
1545,BEZM-I ÂLEM VAKIF UNIVERSITESI,Beslenme ve Diyetetik,395.82
1617,ANKARA MEDIPOL UNIVERSITESI,Beslenme ve Diyetetik,392.76
1755,ATILIM UNIVERSITESI,Beslenme ve Diyetetik,385.99
1875,MARMARA UNIVERSITESI,Beslenme ve Diyetetik,382.01
1885,GAZI UNIVERSITESI,Beslenme ve Diyetetik,381.41
2000,HALIC UNIVERSITESI,Beslenme ve Diyetetik,376.47
2016,LOKMAN HEKIM UNIVERSITESI,Beslenme ve Diyetetik,375.83
2068,KTO KARATAY UNIVERSITESI,Beslenme ve Diyetetik,374.28
2087,ISTANBUL OKAN UNIVERSITESI,Beslenme ve Diyetetik,373.61
2133,ANADOLU UNIVERSITESI,Beslenme ve Diyetetik,372.13
2205,ISTINYE UNIVERSITESI,Beslenme ve Diyetetik,369.07
2252,ISTANBUL BILGI UNIVERSITESI,Beslenme ve Diyetetik,367.18
2343,BIRUNI UNIVERSITESI,Beslenme ve Diyetetik,363.58
2352,AKDENIZ UNIVERSITESI,Beslenme ve Diyetetik,363.20
2500,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Beslenme ve Diyetetik,359.14
2547,SAGLIK BILIMLERI UNIVERSITESI,Beslenme ve Diyetetik,357.17
2609,YUKSEK IHTISAS UNIVERSITESI,Beslenme ve Diyetetik,355.05
2623,ISTANBUL AYDIN UNIVERSITESI,Beslenme ve Diyetetik,354.52
2693,IZMIR KATIP CELEBI UNIVERSITESI,Beslenme ve Diyetetik,352.18
2754,ISTANBUL SABAHATTIN ZAIM UNIVERSITESI,Beslenme ve Diyetetik,350.28
2831,SANKO UNIVERSITESI,Beslenme ve Diyetetik,347.79
2867,IZMIR TINAZTEPE UNIVERSITESI,Beslenme ve Diyetetik,346.67
2959,ISTANBUL MEDENIYET UNIVERSITESI,Beslenme ve Diyetetik,342.57
2970,ANTALYA BILIM UNIVERSITESI,Beslenme ve Diyetetik,342.24
2993,ISTANBUL BEYKENT UNIVERSITESI,Beslenme ve Diyetetik,341.43
3000,ISTANBUL SAGLIK VE TEKNOLOJI UNIVERSITESI,Beslenme ve Diyetetik,341.15
3001,USKUDAR UNIVERSITESI,Beslenme ve Diyetetik,341.15
3013,ISTANBUL ATLAS UNIVERSITESI,Beslenme ve Diyetetik,340.73
